tree,MPD,n_leaves
FAM012754.nw,0.25482883682051277,13
FAM004174.nw,0.4841116815490197,18
FAM017746.nw,0.41310220686666665,6
FAM003857.nw,0.3901089912810458,18
FAM011005.nw,0.814814433969697,12
FAM010087.nw,0.6915679593066667,25
FAM023658.nw,0.69956774,9
FAM022655.nw,0.06995235512727273,11
FAM022550.nw,0.37139875787878784,12
FAM018122.nw,0.2838177096,5
FAM001476.nw,0.04323197620000001,5
FAM000914.nw,0.22680533437471265,30
FAM004150.nw,0.0433348568097166,39
FAM020136.nw,0.021229653600000002,5
FAM016206.nw,0.47839510744597696,30
FAM014704.nw,0.10690716857661291,32
FAM017660.nw,0.03284501780000001,5
FAM000865.nw,0.21603021624,25
FAM000576.nw,0.27622810114619883,19
FAM014176.nw,0.18501322225490194,18
FAM018659.nw,0.21586946019999997,5
FAM022684.nw,0.4595832020666667,6
FAM012984.nw,0.09530144956,25
FAM022531.nw,0.7870359831333332,6
FAM008976.nw,0.2130460956341463,41
FAM022241.nw,0.2746674128,6
FAM018425.nw,0.2826535744,5
FAM020064.nw,0.0222687524,6
FAM016485.nw,0.32972424087272734,11
FAM012894.nw,0.4682295186,5
FAM031287.nw,0.426448373904762,7
FAM019896.nw,0.03100203171428571,7
FAM017564.nw,0.0972207504,5
FAM019065.nw,0.2521939032777778,9
FAM013445.nw,0.47014356464031615,23
FAM020871.nw,0.1182974094,5
FAM021799.nw,0.03678383773333334,6
FAM031775.nw,0.6555295466000001,5
FAM006618.nw,0.11882870298185483,32
FAM007573.nw,0.1179987892,5
FAM020760.nw,0.5173290720083333,16
FAM022621.nw,0.39253321066666663,6
FAM006487.nw,0.1366777027540107,34
FAM020894.nw,0.10803513840000001,6
FAM023146.nw,0.0647326476,5
FAM022344.nw,0.597592683309091,11
FAM023154.nw,1.5167454995357144,8
FAM020608.nw,0.28849806040659337,14
FAM031132.nw,1.881353191933333,6
FAM016337.nw,0.6863337559263156,20
FAM020874.nw,0.25645009166666666,6
FAM018497.nw,0.3387820586,5
FAM012082.nw,0.37971648910107525,31
FAM022373.nw,0.529330678952381,7
FAM027603.nw,0.08799076799999998,5
FAM022640.nw,0.8284024196,5
FAM016480.nw,0.17060974712727275,11
FAM021473.nw,1.0485772626428573,8
FAM023373.nw,0.7122866980000001,6
FAM021412.nw,1.1529428759999998,7
FAM016395.nw,0.44291746096315787,20
FAM000690.nw,0.054202283758536585,41
FAM017066.nw,0.1726335521111111,9
FAM020943.nw,0.5578812846,5
FAM016538.nw,0.9909003459333333,6
FAM019024.nw,0.060532979,5
FAM016874.nw,0.19674424115692307,26
FAM030070.nw,0.7260083458095239,7
FAM002714.nw,0.01897642083065954,34
FAM022543.nw,0.020751155133333334,6
FAM008068.nw,0.0184880102955665,29
FAM001682.nw,0.10142339036825397,36
FAM018954.nw,0.3354264335897436,13
FAM020502.nw,0.30891109460000005,5
FAM027523.nw,0.1067768728,6
FAM016907.nw,0.48042966312727264,11
FAM015362.nw,0.11700094334666668,25
FAM019340.nw,0.2521243144,5
FAM015259.nw,0.17211922513333333,6
FAM016159.nw,0.061479807799999994,5
FAM015302.nw,0.2812222382777778,9
FAM000783.nw,0.038146100321969696,33
FAM016886.nw,0.2958260614384058,24
FAM022702.nw,1.0480892855333332,6
FAM014445.nw,0.2485445235862069,30
FAM012416.nw,0.3124660912,5
FAM017330.nw,0.007022719199999999,5
FAM017582.nw,0.18816911203571426,8
FAM019303.nw,0.24889136220000002,5
FAM018834.nw,0.7776404097555556,10
FAM020112.nw,0.2360933542545455,11
FAM018437.nw,0.4077653606111111,9
FAM005344.nw,0.13850133207142856,8
FAM020504.nw,0.36952935638095236,7
FAM004156.nw,0.20034627658839407,39
FAM021128.nw,0.047587037799999996,5
FAM023442.nw,0.36366448339999996,5
FAM002764.nw,0.655761534,7
FAM019043.nw,1.4484045326000001,5
FAM015565.nw,0.0130133176,5
FAM022078.nw,0.07177487096428571,8
FAM018698.nw,0.03359650820000001,6
FAM018812.nw,0.17641803,10
FAM017421.nw,0.37268232619999997,5
FAM016268.nw,0.1727511968666667,6
FAM009385.nw,0.12970976237701612,32
FAM016304.nw,0.08011525566666668,9
FAM022433.nw,0.11070658209523809,7
FAM016682.nw,0.1018387306,5
FAM011934.nw,0.3181917186666667,7
FAM016662.nw,0.8191013116666664,6
FAM022585.nw,0.659419662095238,7
FAM016588.nw,0.5326104864959678,32
FAM019892.nw,0.5200661616,5
FAM018515.nw,0.3084793342666667,6
FAM028369.nw,0.0556968462857143,7
FAM021466.nw,0.29139274400000004,13
FAM023397.nw,0.06620205180000001,5
FAM000775.nw,1.0880361541999999,25
FAM010011.nw,0.11811496614814816,27
FAM022570.nw,0.4557303778,5
FAM021037.nw,0.20702630332142857,8
FAM005844.nw,0.016611746400000002,5
FAM006193.nw,0.17441510558823528,17
FAM004496.nw,0.24583472990476196,22
FAM018746.nw,0.22457691419999998,5
FAM017331.nw,0.2088562764,5
FAM019625.nw,0.11575911569230769,13
FAM009682.nw,0.028489667712698407,36
FAM022359.nw,0.3535879141818182,11
FAM018257.nw,0.4956227761333334,6
FAM032337.nw,0.36092156379999996,5
FAM016836.nw,0.15141155218181815,11
FAM019972.nw,1.3040797575333334,6
FAM022206.nw,0.08654180573333334,6
FAM001386.nw,0.11932828050000001,12
FAM007570.nw,0.36975629350000006,9
FAM020538.nw,0.3340163916,5
FAM017007.nw,0.4096151192380952,7
FAM021023.nw,0.0681551946923077,13
FAM018177.nw,0.18409932780000002,5
FAM005286.nw,0.05157059120142603,34
FAM016720.nw,0.486648625068421,20
FAM022807.nw,0.18180667446666668,6
FAM002296.nw,0.07931824502133712,38
FAM003878.nw,0.21424385892857142,8
FAM023094.nw,0.14115764826666666,6
FAM002237.nw,0.4290093141071428,8
FAM011190.nw,0.6514696156666667,6
FAM030563.nw,0.03322383657142857,7
FAM021144.nw,0.3522082839333333,6
FAM014710.nw,0.7838536556222223,10
FAM020143.nw,0.12627532113333334,6
FAM020934.nw,0.6578976612,5
FAM020473.nw,0.7504004995999999,5
FAM020791.nw,0.038707283266666656,6
FAM018397.nw,0.5246945886000001,5
FAM020400.nw,0.14692043859999998,5
FAM015474.nw,0.06933126620341394,38
FAM012831.nw,0.05109753626136363,33
FAM021043.nw,0.223239564,5
FAM010272.nw,0.3948265319285715,8
FAM019842.nw,0.25975557046666664,6
FAM019746.nw,1.0122838804285714,8
FAM005529.nw,0.6883090935714286,8
FAM017968.nw,0.8905242021904762,7
FAM017080.nw,0.35025372620634926,28
FAM015470.nw,0.13985823767023173,34
FAM019836.nw,0.8219228209777779,10
FAM015586.nw,0.6862263158814229,23
FAM021424.nw,0.11083276073333331,6
FAM019805.nw,0.036293543866666673,6
FAM028859.nw,0.045070973533333336,6
FAM008670.nw,0.8348387024000001,5
FAM010134.nw,0.12424410165591399,31
FAM006337.nw,0.6629319033787878,12
FAM016123.nw,0.814378738,7
FAM004421.nw,0.3657852099046154,26
FAM021040.nw,0.4994689913333334,7
FAM022013.nw,0.10638428506666667,6
FAM011308.nw,0.24574749704723342,39
FAM004417.nw,0.1989158264954955,37
FAM006851.nw,0.10851284327999998,26
FAM019107.nw,0.3181662876666666,6
FAM020000.nw,0.22254014640000003,5
FAM018655.nw,0.0730599918,5
FAM017346.nw,0.17286023571428574,7
FAM016717.nw,0.5181344814666667,6
FAM007855.nw,0.8282002290000001,5
FAM022273.nw,1.3623442579333334,6
FAM022625.nw,0.5047976688,5
FAM022353.nw,0.15051992617857143,8
FAM022263.nw,0.4617828730583334,16
FAM014967.nw,0.12797490713368984,34
FAM017624.nw,0.04675908646666666,6
FAM020023.nw,1.028251894530303,12
FAM009124.nw,0.41802441403030305,22
FAM007548.nw,0.5083765612820513,13
FAM009494.nw,0.18215566950997147,27
FAM022054.nw,0.533004825,5
FAM010296.nw,0.519642077,6
FAM005672.nw,0.13540621220000001,5
FAM016046.nw,0.2133852516157895,20
FAM016605.nw,0.3496435487210526,20
FAM019098.nw,0.7541842624000001,15
FAM016155.nw,0.7103932352163744,19
FAM000990.nw,0.4654715862857142,8
FAM016405.nw,0.6099750067999999,5
FAM021208.nw,0.8955525181904762,7
FAM018739.nw,0.6294230608,5
FAM022104.nw,0.11644535285714286,7
FAM007939.nw,0.9345280738888889,9
FAM006755.nw,0.15423594239402558,38
FAM023810.nw,0.4767058338,5
FAM001969.nw,0.16726923244444444,9
FAM005298.nw,0.031135438844444443,10
FAM022056.nw,0.7695973747111111,10
FAM022801.nw,0.14071465872222222,9
FAM018069.nw,0.02770069676190477,7
FAM018946.nw,0.1490713862,5
FAM022624.nw,0.17834815959999997,6
FAM001504.nw,0.30889796174603174,28
FAM016272.nw,0.24643850780000007,5
FAM010432.nw,0.24120474979999998,5
FAM016638.nw,0.12355146676190477,7
FAM012693.nw,0.25935353483333334,9
FAM016840.nw,0.7189854133214286,8
FAM006254.nw,0.08205739993333334,25
FAM017480.nw,0.094852193,5
FAM022688.nw,1.0357089008,5
FAM028630.nw,1.0458801536190476,7
FAM018373.nw,0.2504174952,5
FAM022966.nw,0.043016148155555566,10
FAM021042.nw,0.04746043624242424,12
FAM017930.nw,0.11246662380000001,5
FAM011640.nw,0.2569258615969231,26
FAM007448.nw,0.21607903778461535,26
FAM020858.nw,0.18115144883333334,9
FAM018864.nw,0.7153856312857142,8
FAM016621.nw,0.3060358375954023,30
FAM029174.nw,0.10504634039999998,5
FAM017314.nw,0.5200363271428571,7
FAM021862.nw,0.0,5
FAM021834.nw,0.20185651366666668,6
FAM017085.nw,0.4761619576,5
FAM005700.nw,0.35635167744744745,37
FAM019969.nw,0.4127330323571429,8
FAM003404.nw,0.06716570584848484,34
FAM004277.nw,0.6845012585064935,22
FAM019503.nw,0.06277758516666668,9
FAM019144.nw,0.2657030853333333,6
FAM017067.nw,0.39017155,6
FAM003275.nw,0.7613705153725491,18
FAM018251.nw,0.135131154,5
FAM023097.nw,0.22527146761904757,7
FAM011093.nw,0.354631875054054,37
FAM018475.nw,0.27917472724242426,12
FAM000141.nw,0.26333382952380946,7
FAM003138.nw,0.44826393827513233,28
FAM016519.nw,0.24874612571428573,7
FAM014897.nw,0.052332778269230766,40
FAM021438.nw,0.05593704780952381,7
FAM021190.nw,0.7504111563333334,12
FAM016986.nw,0.38842438799999995,5
FAM022601.nw,0.46367728459999985,5
FAM018467.nw,0.10948503500000002,5
FAM006112.nw,0.11076539715795586,42
