2025-11-05 11:04:56   --- Hyperparameters ---
2025-11-05 11:04:56   model = AAConvNet(
2025-11-05 11:04:56     (conv_layer): Sequential(
2025-11-05 11:04:56       (0): Conv1d(22, 64, kernel_size=(1,), stride=(1,))
2025-11-05 11:04:56       (1): ReLU()
2025-11-05 11:04:56       (2): AdaptiveAvgPool1d(output_size=1)
2025-11-05 11:04:56       (3): Dropout(p=0.2, inplace=False)
2025-11-05 11:04:56     )
2025-11-05 11:04:56     (dense_layer): Linear(in_features=64, out_features=1, bias=True)
2025-11-05 11:04:56   )
2025-11-05 11:04:56   split_proportion = 0.9
2025-11-05 11:04:56   batch_pad_sequences = False
2025-11-05 11:04:56   learning_rate = 0.01
2025-11-05 11:04:56   batch_size = 64
2025-11-05 11:04:56   max_epochs = 500
2025-11-05 11:04:56   early_stopping_patience = 20
2025-11-05 11:04:56   kernel_size = 1
2025-11-05 11:04:56   --- Creating loaders ---
2025-11-05 11:04:56   --- Training start ---
2025-11-05 11:04:56   Start training using cpu device.
2025-11-05 11:04:56   Number of model parameters: 1537.
2025-11-05 11:04:56   Epoch   Train loss   Valid loss   Valid acc    F1-score        Lr   Best
2025-11-05 11:04:56   ------------------------------------------------------------------------
2025-11-05 11:05:40      74        0.000        0.000       1.000       1.000   0.00500      *
2025-11-05 11:05:41      75        0.000        0.000       1.000       1.000   0.00495      *
2025-11-05 11:05:42      76        0.000        0.000       1.000       1.000   0.00490      *
2025-11-05 11:05:42      77        0.000        0.000       1.000       1.000   0.00485      *
2025-11-05 11:05:43      78        0.000        0.000       1.000       1.000   0.00480      *
2025-11-05 11:05:43      79        0.000        0.000       1.000       1.000   0.00475      *
2025-11-05 11:05:44      80        0.000        0.000       1.000       1.000   0.00471      *
2025-11-05 11:05:45      81        0.000        0.000       1.000       1.000   0.00466      *
2025-11-05 11:05:45      82        0.000        0.000       1.000       1.000   0.00461      *
2025-11-05 11:05:46      83        0.000        0.000       1.000       1.000   0.00457      *
2025-11-05 11:05:47      84        0.000        0.000       1.000       1.000   0.00452      *
2025-11-05 11:05:47      85        0.000        0.000       1.000       1.000   0.00448      *
2025-11-05 11:05:48      86        0.000        0.000       1.000       1.000   0.00443      *
2025-11-05 11:05:48      87        0.000        0.000       1.000       1.000   0.00439      *
2025-11-05 11:05:49      88        0.000        0.000       1.000       1.000   0.00434      *
2025-11-05 11:05:50      89        0.000        0.000       1.000       1.000   0.00430      *
2025-11-05 11:05:50      90        0.000        0.000       1.000       1.000   0.00426      *
2025-11-05 11:05:51      91        0.000        0.000       1.000       1.000   0.00421      *
2025-11-05 11:05:51      92        0.000        0.000       1.000       1.000   0.00417      *
2025-11-05 11:05:52      93        0.000        0.000       1.000       1.000   0.00413      *
2025-11-05 11:05:53      94        0.000        0.000       1.000       1.000   0.00409      *
2025-11-05 11:05:53      95        0.000        0.000       1.000       1.000   0.00405      *
2025-11-05 11:05:54      96        0.000        0.000       1.000       1.000   0.00401      *
2025-11-05 11:05:54      97        0.000        0.000       1.000       1.000   0.00397      *
2025-11-05 11:05:55      98        0.000        0.000       1.000       1.000   0.00393      *
2025-11-05 11:05:56      99        0.000        0.000       1.000       1.000   0.00389      *
2025-11-05 11:05:56     100        0.000        0.000       1.000       1.000   0.00385      *
2025-11-05 11:05:57     101        0.000        0.000       1.000       1.000   0.00381      *
2025-11-05 11:05:57     102        0.000        0.000       1.000       1.000   0.00377      *
2025-11-05 11:05:58     103        0.000        0.000       1.000       1.000   0.00373      *
2025-11-05 11:05:59     104        0.000        0.000       1.000       1.000   0.00370      *
2025-11-05 11:05:59     105        0.000        0.000       1.000       1.000   0.00366      *
2025-11-05 11:06:00     106        0.000        0.000       1.000       1.000   0.00362      *
2025-11-05 11:06:00     107        0.000        0.000       1.000       1.000   0.00359      *
2025-11-05 11:06:01     108        0.000        0.000       1.000       1.000   0.00355      *
2025-11-05 11:06:02     109        0.000        0.000       1.000       1.000   0.00352      *
2025-11-05 11:06:02     110        0.000        0.000       1.000       1.000   0.00348      *
2025-11-05 11:06:03     111        0.000        0.000       1.000       1.000   0.00345      *
2025-11-05 11:06:03     112        0.000        0.000       1.000       1.000   0.00341      *
2025-11-05 11:06:04     113        0.000        0.000       1.000       1.000   0.00338      *
2025-11-05 11:06:05     114        0.000        0.000       1.000       1.000   0.00334      *
2025-11-05 11:06:05     115        0.000        0.000       1.000       1.000   0.00331      *
2025-11-05 11:06:06     116        0.000        0.000       1.000       1.000   0.00328      *
2025-11-05 11:06:06     117        0.000        0.000       1.000       1.000   0.00324      *
2025-11-05 11:06:07     118        0.000        0.000       1.000       1.000   0.00321      *
2025-11-05 11:06:08     119        0.000        0.000       1.000       1.000   0.00318      *
2025-11-05 11:06:08     120        0.000        0.000       1.000       1.000   0.00315      *
2025-11-05 11:06:09     121        0.000        0.000       1.000       1.000   0.00312      *
2025-11-05 11:06:09     122        0.000        0.000       1.000       1.000   0.00309      *
2025-11-05 11:06:10     123        0.000        0.000       1.000       1.000   0.00305      *
2025-11-05 11:06:11     124        0.000        0.000       1.000       1.000   0.00302      *
2025-11-05 11:06:11     125        0.000        0.000       1.000       1.000   0.00299      *
2025-11-05 11:06:12     126        0.000        0.000       1.000       1.000   0.00296      *
2025-11-05 11:06:13     127        0.000        0.000       1.000       1.000   0.00293      *
2025-11-05 11:06:13     128        0.000        0.000       1.000       1.000   0.00290      *
2025-11-05 11:06:14     129        0.000        0.000       1.000       1.000   0.00288      *
2025-11-05 11:06:14     130        0.000        0.000       1.000       1.000   0.00285      *
2025-11-05 11:06:15     131        0.000        0.000       1.000       1.000   0.00282      *
2025-11-05 11:06:16     132        0.000        0.000       1.000       1.000   0.00279      *
2025-11-05 11:06:16     133        0.000        0.000       1.000       1.000   0.00276      *
2025-11-05 11:06:17     134        0.000        0.000       1.000       1.000   0.00273      *
2025-11-05 11:06:17     135        0.000        0.000       1.000       1.000   0.00271      *
2025-11-05 11:06:18     136        0.000        0.000       1.000       1.000   0.00268      *
2025-11-05 11:06:19     137        0.000        0.000       1.000       1.000   0.00265      *
2025-11-05 11:06:19     138        0.000        0.000       1.000       1.000   0.00263      *
2025-11-05 11:06:20     139        0.000        0.000       1.000       1.000   0.00260      *
2025-11-05 11:06:20     140        0.000        0.000       1.000       1.000   0.00257      *
2025-11-05 11:06:21     141        0.000        0.000       1.000       1.000   0.00255      *
2025-11-05 11:06:22     142        0.000        0.000       1.000       1.000   0.00252      *
2025-11-05 11:06:22     143        0.000        0.000       1.000       1.000   0.00250      *
