2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=AACnnClassifier, acc=0.8410256505012512
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.05, clf=LogisticRegressionClassifier, acc=0.7905659999999998
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseMsaClassifier, acc=0.8205128312110901
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=DenseSiteClassifier, acc=0.8205128312110901
2025-05-29 17:36:42,645 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0, clf=LogisticRegressionClassifier, acc=0.7920820000000001
2025-05-29 17:36:42,646 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=AACnnClassifier, acc=0.9871794581413269
2025-05-29 17:36:42,646 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-05-29 17:36:42,646 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=DenseSiteClassifier, acc=0.764102578163147
2025-05-29 17:36:42,646 group=group2_WAG_posterior_extra_length, sim_name=WAG_frequencies_posterior_extra_length_ext_0.5, clf=LogisticRegressionClassifier, acc=0.7941400000000002
2025-05-29 17:41:12,818 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=AACnnClassifier, acc=0.8564102649688721
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=DenseSiteClassifier, acc=0.8358974456787109
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.5, clf=LogisticRegressionClassifier, acc=0.8028839999999999
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=AACnnClassifier, acc=0.8256410360336304
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=DenseSiteClassifier, acc=0.7743589878082275
